Size, Data.List.sort, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
128, 0.000012159347534179688, 0.00001239776611328125, 0.000011920928955078125, 0.000012159347534179688, 0.000019788742065429688, 0.000017404556274414063, 0.000019073486328125
256, 0.000026226043701171875, 0.00002765655517578125, 0.000025033950805664063, 0.000027179718017578125, 0.000041484832763671875, 0.00003981590270996094, 0.000042438507080078125
512, 0.00005888938903808594, 0.00006079673767089844, 0.00005602836608886719, 0.00006031990051269531, 0.0000972747802734375, 0.00008869171142578125, 0.00009369850158691406
1024, 0.0001289844512939453, 0.0001354217529296875, 0.00012612342834472656, 0.0001380443572998047, 0.00020384788513183594, 0.00019669532775878906, 0.00021076202392578125
2048, 0.0002884864807128906, 0.00030493736267089844, 0.00028586387634277344, 0.0003058910369873047, 0.00045871734619140625, 0.0004336833953857422, 0.00045418739318847656
4096, 0.0006372928619384766, 0.0006961822509765625, 0.0006549358367919922, 0.0006918907165527344, 0.0009849071502685547, 0.0009617805480957031, 0.0010061264038085938
8192, 0.0014224052429199219, 0.0016124248504638672, 0.0014901161193847656, 0.0015583038330078125, 0.002228975296020508, 0.0020978450775146484, 0.0021905899047851563
16384, 0.0035169124603271484, 0.004007577896118164, 0.0036039352416992188, 0.0038444995880126953, 0.005023002624511719, 0.004859447479248047, 0.005037784576416016
32768, 0.008599519729614258, 0.010045289993286133, 0.009109258651733398, 0.009703874588012695, 0.011811971664428711, 0.011066675186157227, 0.011490821838378906
65536, 0.01994180679321289, 0.024108409881591797, 0.02189946174621582, 0.023229598999023438, 0.02660679817199707, 0.025739431381225586, 0.026688098907470703
131072, 0.04578423500061035, 0.05541372299194336, 0.05069780349731445, 0.05362582206726074, 0.06163525581359863, 0.0583651065826416, 0.06023073196411133
262144, 0.10419535636901855, 0.12466168403625488, 0.11491727828979492, 0.12099409103393555, 0.13570404052734375, 0.13288450241088867, 0.13671588897705078
524288, 0.23714685440063477, 0.2803013324737549, 0.2595996856689453, 0.2706773281097412, 0.30638647079467773, 0.29414987564086914, 0.3010547161102295
1048576, 0.5341341495513916, 0.6222555637359619, 0.5837392807006836, 0.6068353652954102, 0.6586599349975586, 0.656653881072998, 0.6651067733764648
2097152, 1.1863412857055664, 1.37886643409729, 1.29002046585083, 1.3467862606048584, 1.4699187278747559, 1.4294586181640625, 1.459195613861084
