Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
1000, 0.139786, 0.138768, 0.138941, 0.139179, 0.140305, 0.139976, 0.140276, 0.140040, 0.140529, 0.140280, 0.140468, 0.140269, 0.140305, 0.140695, 0.140572, 0.141061
2000, 0.142674, 0.149571, 0.148198, 0.150167, 0.150325, 0.149211, 0.149541, 0.149797, 0.150591, 0.149511, 0.149422, 0.149678, 0.151138, 0.150480, 0.151082, 0.149352
3000, 0.144380, 0.146934, 0.145303, 0.146114, 0.146809, 0.146863, 0.146171, 0.147836, 0.147503, 0.145943, 0.146429, 0.153187, 0.165661, 0.165502, 0.165352, 0.165630
4000, 0.166644, 0.166421, 0.166489, 0.167264, 0.158855, 0.158713, 0.159997, 0.159629, 0.157991, 0.158272, 0.157651, 0.161846, 0.159304, 0.158490, 0.157779, 0.158865
5000, 0.159678, 0.159809, 0.160308, 0.161331, 0.162228, 0.164554, 0.162923, 0.163682, 0.162833, 0.167630, 0.167757, 0.162936, 0.168109, 0.166611, 0.163842, 0.164925
6000, 0.165645, 0.166200, 0.165317, 0.165739, 0.167240, 0.167304, 0.166871, 0.167157, 0.165426, 0.166706, 0.166712, 0.166371, 0.167131, 0.179800, 0.169552, 0.181484
7000, 0.183023, 0.170337, 0.170926, 0.182546, 0.184017, 0.184844, 0.185232, 0.184917, 0.182925, 0.182233, 0.183115, 0.184124, 0.186791, 0.185725, 0.186549, 0.187825
8000, 0.187304, 0.186768, 0.187029, 0.187643, 0.189416, 0.189328, 0.189573, 0.190710, 0.187260, 0.187500, 0.190208, 0.188724, 0.192087, 0.191352, 0.191725, 0.193299
9000, 0.192803, 0.192286, 0.191923, 0.192434, 0.198632, 0.196293, 0.195619, 0.196023, 0.193948, 0.193731, 0.195690, 0.193414, 0.200098, 0.199094, 0.197470, 0.198323
10000, 0.198568, 0.198769, 0.199878, 0.201317, 0.204945, 0.203556, 0.203871, 0.205332, 0.201243, 0.201338, 0.200455, 0.204024, 0.206438, 0.205722, 0.205837, 0.208079
11000, 0.217613, 0.216721, 0.219033, 0.220600, 0.221036, 0.223666, 0.223854, 0.222591, 0.218805, 0.218888, 0.217617, 0.221402, 0.223938, 0.224240, 0.225564, 0.226001
12000, 0.222729, 0.224101, 0.224481, 0.226531, 0.227551, 0.226351, 0.227673, 0.228989, 0.227334, 0.224758, 0.224865, 0.227969, 0.233679, 0.232634, 0.229263, 0.233564
13000, 0.231211, 0.230230, 0.232923, 0.233253, 0.237302, 0.237049, 0.239881, 0.239228, 0.233721, 0.234455, 0.232952, 0.236052, 0.241680, 0.241465, 0.242916, 0.240697
14000, 0.237243, 0.236724, 0.238454, 0.238412, 0.244563, 0.243838, 0.244538, 0.244425, 0.238727, 0.239065, 0.240383, 0.241365, 0.245819, 0.244992, 0.247308, 0.246954
15000, 0.243235, 0.243685, 0.244359, 0.246329, 0.250915, 0.249903, 0.251285, 0.251697, 0.246534, 0.245124, 0.246244, 0.248407, 0.254032, 0.253271, 0.254394, 0.252236
16000, 0.245059, 0.244986, 0.246378, 0.247264, 0.251231, 0.250967, 0.253064, 0.254454, 0.253262, 0.247930, 0.248422, 0.248906, 0.257365, 0.255018, 0.257780, 0.258419
17000, 0.255426, 0.260166, 0.253418, 0.255610, 0.263569, 0.265845, 0.260409, 0.261162, 0.256207, 0.256189, 0.255214, 0.260302, 0.269014, 0.266823, 0.264469, 0.265530
18000, 0.262455, 0.263331, 0.258506, 0.259955, 0.268673, 0.271891, 0.267292, 0.267206, 0.262221, 0.261162, 0.260284, 0.263721, 0.273260, 0.271502, 0.268953, 0.271277
19000, 0.268727, 0.266437, 0.265994, 0.266060, 0.274538, 0.273065, 0.290577, 0.292811, 0.285515, 0.286250, 0.288826, 0.286410, 0.296620, 0.297059, 0.295880, 0.295055
20000, 0.290513, 0.291759, 0.292097, 0.295645, 0.303304, 0.299069, 0.298605, 0.305818, 0.292253, 0.291269, 0.291760, 0.295573, 0.302922, 0.303825, 0.304669, 0.308401
21000, 0.300707, 0.299064, 0.297071, 0.304049, 0.308643, 0.306737, 0.305832, 0.311042, 0.300308, 0.300486, 0.302406, 0.303565, 0.312590, 0.312096, 0.310078, 0.315389
22000, 0.305264, 0.304131, 0.303090, 0.306484, 0.313808, 0.314468, 0.313470, 0.316293, 0.306266, 0.305674, 0.304959, 0.308966, 0.320381, 0.319130, 0.315746, 0.320964
23000, 0.311888, 0.312143, 0.311590, 0.313885, 0.318553, 0.325098, 0.322168, 0.327185, 0.316605, 0.315815, 0.313687, 0.318356, 0.331465, 0.327952, 0.328249, 0.331486
24000, 0.320233, 0.319942, 0.278419, 0.282102, 0.290923, 0.289127, 0.288898, 0.347339, 0.331301, 0.332802, 0.331753, 0.336311, 0.352837, 0.345739, 0.344292, 0.350826
25000, 0.337965, 0.338036, 0.343022, 0.343674, 0.350187, 0.296779, 0.302367, 0.300568, 0.288307, 0.288471, 0.291040, 0.291544, 0.303457, 0.307043, 0.306821, 0.307682
26000, 0.294674, 0.296811, 0.305691, 0.298368, 0.305598, 0.305778, 0.308124, 0.309127, 0.297023, 0.297043, 0.299419, 0.299941, 0.311968, 0.359018, 0.372805, 0.361299
27000, 0.353794, 0.354120, 0.355830, 0.355198, 0.363677, 0.361790, 0.364604, 0.363042, 0.353356, 0.352184, 0.359176, 0.354561, 0.367895, 0.367191, 0.372466, 0.370905
28000, 0.359144, 0.358894, 0.362278, 0.360632, 0.369953, 0.367620, 0.372402, 0.371041, 0.360531, 0.361132, 0.360905, 0.362267, 0.379847, 0.375365, 0.377864, 0.391883
29000, 0.370732, 0.368972, 0.366392, 0.369769, 0.376933, 0.373965, 0.334210, 0.333214, 0.326371, 0.365853, 0.369354, 0.373881, 0.388045, 0.390919, 0.385457, 0.385091
30000, 0.370827, 0.370284, 0.374151, 0.379137, 0.383202, 0.386778, 0.386629, 0.387898, 0.372754, 0.373512, 0.375491, 0.376506, 0.390325, 0.389896, 0.393864, 0.393741
31000, 0.379643, 0.380263, 0.380593, 0.383197, 0.391756, 0.390597, 0.394410, 0.395839, 0.385456, 0.383198, 0.388772, 0.385529, 0.400744, 0.400782, 0.401621, 0.402231
32000, 0.388507, 0.388858, 0.392285, 0.394485, 0.404667, 0.404773, 0.407486, 0.408293, 0.393446, 0.392223, 0.394780, 0.396729, 0.411727, 0.418606, 0.422105, 0.421694
33000, 0.416003, 0.413928, 0.409026, 0.410278, 0.432497, 0.430697, 0.422137, 0.424362, 0.415671, 0.416561, 0.414950, 0.412767, 0.437795, 0.438864, 0.430703, 0.435266
34000, 0.424936, 0.427056, 0.423771, 0.422747, 0.452039, 0.443330, 0.439032, 0.443121, 0.427497, 0.427856, 0.425130, 0.424982, 0.449963, 0.451363, 0.441368, 0.444716
35000, 0.434894, 0.431315, 0.425055, 0.428489, 0.446838, 0.443866, 0.437419, 0.440281, 0.428455, 0.430860, 0.424644, 0.429213, 0.452909, 0.452444, 0.463341, 0.461000
36000, 0.432253, 0.377663, 0.374323, 0.378098, 0.397371, 0.396055, 0.390318, 0.398147, 0.433813, 0.434542, 0.377033, 0.432047, 0.460477, 0.456044, 0.452822, 0.454673
37000, 0.442142, 0.442135, 0.439719, 0.439576, 0.459722, 0.450429, 0.450665, 0.446590, 0.438083, 0.435353, 0.433370, 0.436399, 0.464964, 0.459462, 0.460611, 0.459921
38000, 0.445290, 0.445190, 0.443218, 0.448744, 0.462512, 0.461513, 0.458313, 0.458143, 0.445797, 0.443962, 0.442633, 0.443399, 0.470779, 0.466216, 0.463454, 0.464861
39000, 0.452754, 0.452413, 0.455732, 0.449735, 0.470151, 0.469079, 0.422562, 0.424384, 0.410862, 0.412995, 0.408501, 0.412865, 0.435322, 0.433883, 0.432416, 0.432398
40000, 0.461500, 0.459741, 0.455235, 0.467811, 0.483090, 0.477477, 0.473039, 0.485225, 0.461154, 0.475224, 0.417251, 0.426937, 0.444301, 0.443417, 0.439096, 0.451058
