Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
100, 14.772041, 14.041763, 13.838562, 14.829689, 19.750671, 18.380249, 17.879036, 19.061867, 16.103714, 14.684357, 15.132454, 15.502266, 20.945015, 18.881935, 19.401176, 19.661369
200, 37.927132, 36.476898, 38.397026, 38.383881, 49.501389, 46.769264, 48.787666, 48.465508, 39.840599, 38.322792, 40.306473, 40.468338, 50.924637, 48.310455, 50.398491, 50.217743
300, 65.367371, 63.190224, 60.821510, 62.643036, 84.506310, 80.412544, 76.492256, 78.491943, 69.905846, 65.296181, 63.670502, 65.676414, 88.457230, 82.039810, 78.995750, 81.107224
400, 93.959099, 91.048080, 95.695244, 96.156128, 120.299049, 114.843704, 119.733673, 119.774986, 98.621681, 94.277039, 96.107727, 98.153824, 123.730682, 117.388390, 118.786301, 120.857887
500, 122.026024, 118.396790, 120.649796, 125.068039, 155.533623, 148.716560, 150.153374, 155.279930, 128.906387, 121.955086, 123.901665, 128.443268, 161.294014, 151.218521, 152.648163, 157.609657
600, 162.730331, 158.381142, 153.538879, 155.988289, 206.189667, 198.010902, 189.999115, 192.521881, 168.425423, 164.696793, 156.617249, 160.632698, 210.260529, 202.956978, 191.717796, 196.014877
700, 194.306709, 189.225388, 183.973877, 202.355217, 244.782288, 235.241928, 226.585289, 249.001564, 202.588928, 197.512680, 189.120872, 209.981148, 251.405144, 242.064415, 230.520332, 255.216537
800, 232.201012, 226.403214, 236.155563, 237.798332, 291.131905, 280.229813, 290.247047, 291.298927, 241.493324, 235.766762, 244.999214, 246.809395, 298.278839, 288.161926, 297.600082, 298.705322
900, 265.148293, 258.619232, 262.808693, 266.000755, 332.468620, 320.204926, 322.816879, 325.742119, 275.174492, 268.488853, 273.240913, 275.870033, 340.052261, 328.235229, 331.864563, 333.784767
1000, 298.898849, 291.639397, 297.362045, 306.101707, 373.944252, 360.318947, 364.461189, 374.373566, 310.296074, 303.002998, 308.253143, 316.578659, 382.695572, 369.681488, 373.483597, 382.990601
1100, 355.325645, 347.349716, 329.516823, 340.145172, 444.073425, 429.086388, 403.082970, 415.491180, 372.250679, 357.683311, 341.300758, 352.150902, 457.885345, 437.752716, 412.698746, 425.368851
1200, 392.323059, 383.611519, 372.253616, 378.503952, 488.589653, 472.241051, 454.407753, 460.993515, 410.700432, 392.993622, 384.499397, 392.181175, 503.735428, 479.182335, 464.595367, 472.539757
1300, 436.968704, 427.545906, 411.238785, 454.361099, 542.568100, 524.857719, 500.559616, 553.133095, 456.298950, 437.150772, 423.131165, 461.879189, 558.040764, 531.545738, 509.624802, 557.605980
1400, 468.833534, 458.683823, 448.284325, 486.505226, 581.283165, 562.211143, 545.088043, 591.120476, 490.155754, 471.620964, 462.010078, 496.062424, 598.614761, 572.287491, 556.021683, 597.655029
1500, 505.052353, 494.173988, 484.619720, 520.952316, 625.604462, 605.170815, 588.776718, 632.354607, 528.054329, 507.910965, 500.041405, 531.566360, 644.325958, 615.631981, 601.267563, 639.717636
1600, 556.813744, 545.195419, 568.973114, 565.345886, 688.200020, 666.404846, 691.139969, 684.801956, 579.365799, 559.587982, 578.262505, 579.231812, 706.249886, 677.229851, 697.163521, 695.727982
1700, 593.683228, 581.351906, 598.354897, 601.763878, 733.565147, 710.408211, 726.352676, 728.651619, 616.850029, 597.719109, 609.827675, 616.343437, 751.668320, 723.081390, 734.534348, 739.897583
1800, 641.537964, 628.474510, 641.788704, 647.567879, 790.576469, 766.057938, 776.835793, 782.172592, 668.302986, 646.059433, 654.410339, 663.167664, 812.529205, 780.100502, 786.003349, 794.157509
1900, 673.301956, 659.533333, 669.813011, 695.571518, 830.489952, 804.609589, 811.374321, 841.457458, 701.674500, 677.307777, 682.814911, 711.462372, 853.680077, 818.147568, 820.583664, 853.285629
2000, 718.775017, 704.240341, 719.665161, 734.621300, 884.942482, 857.700821, 870.237747, 886.822403, 747.387527, 724.088394, 733.782982, 752.004761, 907.736183, 873.304939, 880.281036, 900.018318
2100, 818.163757, 802.941307, 752.299385, 772.935593, 1007.452087, 978.848442, 909.319656, 932.682930, 839.259872, 830.079933, 770.147018, 793.080681, 1021.875374, 1000.770645, 923.162483, 948.604309
2200, 855.020241, 839.067398, 793.387573, 824.496613, 1051.046471, 1021.081215, 957.824997, 993.774025, 880.163406, 867.987617, 812.636536, 845.304443, 1069.970955, 1044.930023, 972.884872, 1010.454285
2300, 893.827141, 877.168259, 839.331749, 868.042892, 1097.242989, 1065.915909, 1012.024773, 1045.052986, 921.103424, 906.808815, 859.668633, 888.956085, 1118.136009, 1090.056259, 1027.871124, 1061.168900
2400, 936.951218, 919.526283, 897.888283, 909.964790, 1149.299477, 1116.611099, 1082.433243, 1094.823387, 965.036942, 948.422379, 916.653687, 931.586899, 1170.603981, 1139.470406, 1096.026878, 1111.338005
2500, 976.812988, 958.676796, 941.629303, 1030.506104, 1197.270866, 1163.220711, 1134.503296, 1241.520920, 1006.007774, 988.804893, 961.422142, 1059.336670, 1219.459518, 1187.122040, 1148.711769, 1263.846298
2600, 1037.391144, 1018.548042, 984.061928, 1078.208717, 1269.468452, 1234.056480, 1183.618095, 1296.719933, 1065.833595, 1050.336098, 1005.088921, 1108.327065, 1289.758179, 1258.987793, 1198.924927, 1320.293358
2700, 1071.597946, 1052.011406, 1030.980560, 1107.374115, 1311.393402, 1274.619934, 1240.481567, 1331.704262, 1103.134369, 1086.878197, 1052.451149, 1137.826164, 1334.776909, 1302.833008, 1256.166412, 1354.993088
2800, 1111.521095, 1091.221558, 1072.285484, 1161.639091, 1358.642456, 1320.507225, 1288.534096, 1395.422470, 1145.787048, 1128.629883, 1096.548721, 1194.407516, 1384.580956, 1351.222954, 1307.087097, 1421.655472
2900, 1159.272820, 1138.243759, 1119.897934, 1197.145599, 1416.227356, 1376.730507, 1345.015747, 1436.954552, 1195.427513, 1176.360893, 1144.548332, 1231.193352, 1443.659927, 1408.097809, 1363.586304, 1464.185173
3000, 1208.974373, 1187.221878, 1167.793655, 1245.586945, 1474.490707, 1433.632187, 1400.620323, 1492.725838, 1248.835495, 1226.515877, 1192.551842, 1281.160278, 1505.858070, 1465.776245, 1418.636307, 1521.162079
3100, 1270.364433, 1247.919815, 1299.147606, 1292.311897, 1551.621811, 1509.401344, 1562.872139, 1551.062775, 1310.164726, 1284.877510, 1336.054886, 1331.756210, 1582.109329, 1539.059647, 1592.341461, 1583.251701
3200, 1312.674553, 1289.469971, 1340.467148, 1338.432007, 1601.548225, 1557.966408, 1610.630669, 1604.485764, 1353.011826, 1326.256699, 1376.522575, 1378.882057, 1632.206917, 1586.781227, 1638.763031, 1637.652107
3300, 1362.087440, 1338.128983, 1388.380135, 1387.459137, 1659.269020, 1614.325798, 1665.765053, 1660.817528, 1404.241188, 1377.442802, 1426.957001, 1429.857552, 1691.815002, 1645.946198, 1696.495079, 1695.579086
3400, 1399.473709, 1374.816170, 1413.900894, 1420.334862, 1706.320534, 1660.015427, 1697.481239, 1701.416275, 1444.069878, 1415.732529, 1454.985916, 1463.655312, 1740.716660, 1692.665535, 1730.786469, 1736.926331
3500, 1449.457153, 1424.044868, 1470.393242, 1473.635483, 1765.143326, 1717.476822, 1763.109695, 1763.444244, 1494.617973, 1466.245888, 1510.219543, 1516.806519, 1799.752518, 1750.887375, 1794.807228, 1798.482788
3600, 1508.473267, 1482.366249, 1506.995026, 1519.060173, 1836.168823, 1787.140396, 1805.756004, 1816.900177, 1555.530205, 1525.271149, 1547.351013, 1564.734154, 1872.784195, 1821.130974, 1837.666008, 1854.597923
3700, 1548.556709, 1521.756699, 1550.947479, 1564.137642, 1883.930298, 1833.539932, 1857.660652, 1869.785065, 1596.308189, 1567.192268, 1593.836357, 1611.194954, 1920.786057, 1869.957138, 1892.105965, 1908.362358
3800, 1596.306282, 1568.768051, 1594.009315, 1646.060814, 1940.952621, 1889.200714, 1908.087143, 1967.542397, 1645.394150, 1616.135597, 1637.336937, 1690.099266, 1978.523201, 1927.389984, 1942.664429, 2003.074303
3900, 1648.509674, 1620.246269, 1657.799469, 1691.091286, 2003.644524, 1950.530960, 1983.847023, 2020.574295, 1699.725754, 1668.790672, 1705.455681, 1737.867287, 2043.281349, 1989.938477, 2022.534195, 2058.855919
4000, 1692.096230, 1663.094604, 1696.805313, 1731.304283, 2056.408585, 2001.933479, 2029.936768, 2068.342621, 1745.810951, 1711.622833, 1743.946510, 1783.141090, 2098.235291, 2040.492424, 2067.602745, 2112.336823
