Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
100, 0.001158, 0.000985, 0.000935, 0.000767, 0.001456, 0.001191, 0.001123, 0.000808, 0.003351, 0.002970, 0.002720, 0.001406, 0.004373, 0.003784, 0.003423, 0.001625
200, 0.002279, 0.001915, 0.001796, 0.001571, 0.002764, 0.002234, 0.002056, 0.001624, 0.008759, 0.007832, 0.008410, 0.004244, 0.011255, 0.009845, 0.010555, 0.005081
300, 0.003356, 0.002812, 0.002566, 0.002381, 0.004002, 0.003214, 0.002879, 0.002456, 0.015412, 0.013881, 0.012966, 0.008466, 0.019528, 0.017589, 0.016086, 0.010108
400, 0.004554, 0.003799, 0.003524, 0.003248, 0.005366, 0.004298, 0.003918, 0.003349, 0.021840, 0.020560, 0.019485, 0.012572, 0.027487, 0.025675, 0.024139, 0.015043
500, 0.005891, 0.004911, 0.004511, 0.004185, 0.006840, 0.005471, 0.004941, 0.004308, 0.029165, 0.027110, 0.026580, 0.017960, 0.036407, 0.033616, 0.032823, 0.021632
600, 0.007127, 0.005888, 0.005387, 0.005039, 0.008250, 0.006545, 0.005880, 0.005156, 0.038838, 0.037098, 0.034480, 0.022836, 0.048506, 0.045627, 0.042451, 0.027421
700, 0.008359, 0.006884, 0.006262, 0.005899, 0.009635, 0.007599, 0.006791, 0.006007, 0.045799, 0.044288, 0.040787, 0.027967, 0.057017, 0.054267, 0.049982, 0.033488
800, 0.009603, 0.007905, 0.007233, 0.006738, 0.011007, 0.008719, 0.007819, 0.006848, 0.054629, 0.051976, 0.054022, 0.033202, 0.067804, 0.063734, 0.066089, 0.039700
900, 0.011179, 0.009420, 0.008586, 0.007860, 0.012744, 0.010301, 0.009247, 0.008001, 0.062927, 0.061549, 0.061181, 0.044686, 0.077697, 0.075071, 0.074315, 0.053238
1000, 0.012416, 0.010363, 0.009400, 0.008719, 0.014091, 0.011340, 0.010115, 0.008873, 0.071655, 0.068724, 0.069259, 0.049277, 0.088403, 0.083707, 0.084057, 0.058498
1100, 0.013768, 0.011535, 0.010407, 0.009657, 0.015694, 0.012631, 0.011179, 0.009804, 0.088448, 0.082636, 0.076835, 0.055630, 0.108903, 0.101164, 0.093128, 0.065916
1200, 0.015235, 0.012799, 0.011601, 0.010686, 0.017241, 0.013867, 0.012375, 0.010846, 0.097338, 0.091339, 0.087638, 0.062149, 0.118892, 0.111259, 0.106121, 0.073589
1300, 0.016677, 0.014005, 0.012709, 0.011695, 0.018824, 0.015205, 0.013578, 0.011842, 0.107366, 0.099519, 0.095655, 0.069354, 0.131137, 0.120761, 0.115546, 0.082310
1400, 0.017911, 0.015044, 0.013655, 0.012608, 0.020191, 0.016306, 0.014548, 0.012687, 0.115510, 0.108165, 0.104641, 0.075617, 0.140794, 0.131169, 0.126194, 0.089437
1500, 0.019394, 0.016338, 0.014819, 0.013639, 0.021802, 0.017677, 0.015779, 0.013825, 0.125374, 0.117676, 0.114006, 0.083154, 0.152619, 0.142501, 0.137658, 0.098422
1600, 0.020778, 0.017498, 0.015906, 0.014579, 0.023389, 0.018910, 0.016948, 0.014735, 0.137306, 0.130111, 0.133083, 0.090206, 0.166687, 0.157154, 0.160707, 0.106630
1700, 0.022360, 0.018779, 0.017081, 0.015699, 0.025001, 0.020209, 0.018173, 0.015864, 0.146927, 0.140013, 0.141367, 0.107196, 0.178029, 0.168898, 0.170394, 0.127343
1800, 0.023569, 0.019810, 0.018102, 0.016580, 0.026424, 0.021362, 0.019154, 0.016734, 0.157563, 0.147195, 0.149030, 0.111665, 0.191191, 0.177509, 0.179413, 0.132768
1900, 0.025110, 0.021197, 0.019283, 0.017666, 0.028138, 0.022818, 0.020404, 0.017856, 0.167751, 0.159197, 0.158689, 0.119133, 0.202912, 0.191615, 0.190609, 0.141254
2000, 0.026496, 0.022297, 0.020302, 0.018608, 0.029547, 0.024024, 0.021541, 0.018811, 0.177865, 0.168213, 0.168479, 0.124600, 0.215414, 0.202351, 0.201978, 0.147715
2100, 0.027939, 0.023569, 0.021414, 0.019653, 0.031261, 0.025377, 0.022697, 0.019832, 0.202112, 0.198474, 0.177476, 0.133497, 0.245619, 0.238532, 0.212912, 0.157949
2200, 0.029355, 0.024660, 0.022527, 0.020586, 0.032754, 0.026534, 0.023796, 0.020750, 0.211511, 0.207505, 0.187671, 0.140656, 0.255904, 0.248721, 0.224705, 0.165649
2300, 0.030999, 0.026248, 0.023921, 0.021814, 0.034556, 0.028133, 0.025259, 0.021968, 0.222156, 0.217363, 0.198572, 0.148799, 0.267985, 0.259954, 0.237519, 0.175380
2400, 0.032372, 0.027414, 0.024984, 0.022837, 0.036117, 0.029395, 0.026432, 0.023085, 0.232038, 0.226277, 0.212938, 0.156399, 0.280911, 0.270109, 0.254579, 0.184329
