Size, List.stable_sort, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBN.sort1 (TMC), CBN.sort2 (TMC), CBN.sort3 (TMC), CBN.sortN (TMC), CBNAcc.sort1 (TMC), CBNAcc.sort2 (TMC), CBNAcc.sort3 (TMC), CBNAcc.sortN (TMC), CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
500000, 0.125966, 0.180851, 0.176773, 0.178639, 0.180326, 0.169969, 0.167107, 0.166690, 0.168339, 0.154275, 0.151399, 0.151627, 0.153595, 0.134583, 0.130315, 0.129136, 0.131520, 0.147209, 0.137886, 0.136201, 0.139846, 0.127417, 0.121034, 0.120090, 0.122835
525000, 0.132869, 0.200837, 0.196127, 0.187050, 0.189258, 0.184863, 0.182571, 0.175215, 0.177453, 0.171367, 0.168070, 0.158406, 0.161210, 0.146390, 0.141909, 0.135548, 0.138357, 0.155540, 0.158448, 0.143321, 0.147332, 0.135975, 0.133250, 0.126257, 0.129373
550000, 0.139757, 0.208503, 0.203812, 0.196111, 0.198330, 0.191898, 0.189230, 0.184343, 0.186409, 0.177694, 0.174249, 0.166217, 0.168952, 0.152047, 0.147322, 0.142474, 0.145419, 0.161626, 0.163908, 0.150685, 0.154285, 0.141490, 0.138121, 0.132622, 0.136044
575000, 0.147009, 0.216606, 0.211870, 0.205006, 0.208276, 0.200149, 0.197226, 0.193322, 0.195950, 0.184663, 0.181276, 0.173561, 0.177233, 0.158209, 0.153519, 0.149375, 0.152712, 0.168679, 0.178782, 0.165674, 0.169219, 0.155357, 0.151726, 0.146643, 0.150118
600000, 0.161182, 0.227147, 0.221037, 0.217486, 0.218066, 0.208135, 0.205092, 0.203405, 0.205360, 0.192557, 0.189006, 0.184094, 0.185596, 0.165219, 0.160055, 0.157594, 0.159832, 0.175967, 0.176886, 0.166773, 0.169221, 0.153753, 0.150346, 0.145888, 0.149404
625000, 0.159491, 0.235331, 0.229933, 0.225928, 0.227115, 0.217590, 0.214357, 0.224263, 0.227292, 0.209314, 0.205342, 0.199983, 0.202584, 0.180898, 0.175375, 0.172540, 0.175961, 0.192062, 0.193038, 0.181788, 0.185609, 0.168855, 0.164846, 0.159796, 0.164392
650000, 0.174960, 0.243928, 0.238460, 0.234705, 0.248312, 0.226003, 0.222980, 0.234027, 0.243209, 0.217103, 0.212901, 0.208016, 0.211292, 0.178903, 0.173484, 0.170855, 0.178812, 0.190666, 0.191077, 0.181139, 0.200004, 0.166868, 0.162950, 0.158170, 0.168713
675000, 0.177472, 0.268506, 0.262910, 0.257066, 0.270713, 0.249097, 0.245979, 0.230440, 0.237890, 0.216621, 0.212501, 0.206162, 0.218410, 0.186451, 0.180874, 0.177873, 0.185078, 0.199317, 0.200400, 0.188202, 0.206864, 0.174421, 0.170060, 0.164764, 0.174520
700000, 0.180681, 0.263534, 0.257533, 0.254195, 0.264962, 0.244500, 0.241378, 0.253965, 0.260690, 0.234249, 0.229984, 0.225172, 0.225320, 0.193441, 0.196921, 0.194611, 0.200708, 0.216604, 0.217286, 0.204610, 0.223146, 0.184555, 0.176522, 0.171382, 0.180308
725000, 0.186606, 0.288152, 0.282111, 0.277640, 0.274837, 0.254349, 0.251170, 0.249029, 0.254409, 0.232611, 0.228289, 0.222806, 0.233412, 0.201226, 0.195115, 0.192308, 0.198016, 0.215826, 0.224891, 0.212651, 0.230285, 0.198426, 0.183618, 0.177868, 0.186649
