Size, List.stable_sort, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBN.sort1 (TMC), CBN.sort2 (TMC), CBN.sort3 (TMC), CBN.sortN (TMC), CBNAcc.sort1 (TMC), CBNAcc.sort2 (TMC), CBNAcc.sort3 (TMC), CBNAcc.sortN (TMC), CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
25000, 8.444412, 19.074234, 17.882141, 18.387825, 18.266640, 9.537300, 8.678993, 8.598175, 8.717316, 20.436653, 19.578346, 19.786346, 19.630829, 9.537300, 8.678993, 8.598175, 8.717316, 22.338165, 19.695404, 18.725571, 19.066391, 11.151031, 9.275421, 9.029892, 9.336472
50000, 18.032913, 40.639938, 38.255753, 39.259125, 38.982330, 20.216721, 18.500107, 18.336937, 18.567177, 43.557541, 41.840927, 42.248009, 41.898781, 20.216721, 18.500107, 18.336937, 18.567177, 46.207764, 43.222382, 44.254669, 44.295685, 22.301941, 20.839691, 20.348541, 20.954803
75000, 28.966141, 64.287041, 60.710762, 58.276764, 58.224220, 31.659966, 29.085045, 27.547302, 28.233040, 68.948051, 66.373131, 62.666687, 62.508675, 31.659966, 29.085045, 27.547302, 28.233040, 75.649109, 64.683990, 64.199738, 65.214149, 36.499756, 30.873077, 30.528351, 31.459328
100000, 38.354324, 86.226570, 81.458199, 83.467537, 82.952705, 42.721115, 39.287888, 38.964729, 39.429413, 92.441635, 89.008408, 89.825081, 89.170319, 42.721115, 39.287888, 38.964729, 39.429413, 100.038788, 89.486694, 85.591095, 86.946251, 49.181549, 41.679260, 40.697052, 41.917870
125000, 50.942825, 106.721573, 100.761108, 102.535072, 103.775513, 53.550636, 49.259102, 48.198555, 49.655876, 114.317421, 110.025887, 110.297432, 111.506889, 53.550636, 49.259102, 48.198555, 49.655876, 125.379776, 112.312988, 107.253204, 111.720802, 61.664017, 52.286194, 50.976837, 52.164528
150000, 61.365189, 136.034462, 128.881905, 123.992104, 123.896454, 66.757095, 61.607254, 58.523529, 59.904335, 145.931229, 140.781387, 133.344757, 133.038185, 66.757095, 61.607254, 58.523529, 59.904335, 149.807983, 146.936279, 132.995422, 134.985367, 72.999512, 68.612610, 61.056580, 62.936905
175000, 71.092667, 157.410919, 149.066269, 143.620247, 153.823601, 77.698654, 71.690506, 68.353958, 72.816406, 168.798386, 162.790237, 154.372574, 165.396057, 77.698654, 71.690506, 68.353958, 72.816406, 175.731689, 172.324265, 154.729233, 173.005592, 86.338257, 81.220078, 71.368393, 80.756874
200000, 81.285965, 182.383476, 172.846733, 176.904602, 175.899673, 90.022110, 83.155655, 82.514832, 83.460281, 195.577957, 188.711502, 190.388855, 189.105301, 90.022110, 83.155655, 82.514832, 83.460281, 206.185547, 194.224518, 198.411560, 198.598648, 98.362976, 92.513824, 90.549377, 93.002518
225000, 94.446671, 202.811218, 192.082382, 195.973351, 195.239044, 100.887177, 93.162415, 91.786400, 93.380318, 217.371796, 209.647034, 210.857201, 209.790291, 100.887177, 93.162415, 91.786400, 93.380318, 231.786469, 218.347702, 218.524353, 220.363762, 111.007660, 104.427231, 100.725464, 104.800041
250000, 107.607376, 225.823082, 213.902153, 217.478569, 220.010155, 112.821671, 104.238602, 102.127304, 105.033585, 241.966141, 233.383072, 233.957321, 236.435379, 112.821671, 104.238602, 102.127304, 105.033585, 258.604706, 243.434525, 245.200302, 243.053925, 123.327972, 116.016495, 113.397568, 115.775238
