Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
100, 0.001115, 0.000931, 0.000955, 0.001117, 0.001425, 0.001140, 0.001146, 0.001303, 0.003906, 0.003461, 0.003586, 0.003645, 0.005187, 0.004554, 0.004738, 0.004738
200, 0.002176, 0.001793, 0.001827, 0.002213, 0.002657, 0.002119, 0.002098, 0.002505, 0.009750, 0.009261, 0.009830, 0.009964, 0.012751, 0.011865, 0.012554, 0.012624
300, 0.003337, 0.002780, 0.002908, 0.003520, 0.003981, 0.003190, 0.003234, 0.003900, 0.017634, 0.016366, 0.015684, 0.017649, 0.022672, 0.020857, 0.019701, 0.022236
400, 0.004535, 0.003783, 0.003948, 0.004717, 0.005334, 0.004276, 0.004347, 0.005153, 0.025331, 0.023666, 0.024453, 0.024771, 0.032196, 0.029803, 0.030764, 0.031014
500, 0.005708, 0.004752, 0.004934, 0.005958, 0.006655, 0.005310, 0.005369, 0.006468, 0.033089, 0.030931, 0.031226, 0.032648, 0.041743, 0.038854, 0.038840, 0.040385
600, 0.006903, 0.005755, 0.006050, 0.007122, 0.008001, 0.006431, 0.006530, 0.007651, 0.043421, 0.042011, 0.039642, 0.040868, 0.054704, 0.052334, 0.048996, 0.050393
700, 0.008092, 0.006767, 0.007104, 0.008382, 0.009381, 0.007490, 0.007638, 0.009025, 0.051693, 0.050236, 0.047596, 0.053604, 0.064866, 0.062164, 0.058711, 0.065771
800, 0.009310, 0.007774, 0.008090, 0.009608, 0.010736, 0.008579, 0.008704, 0.010318, 0.061778, 0.059796, 0.062093, 0.062459, 0.077106, 0.073865, 0.076251, 0.076497
900, 0.010440, 0.008695, 0.009081, 0.010819, 0.011973, 0.009583, 0.009737, 0.011558, 0.070582, 0.067995, 0.069074, 0.070430, 0.087970, 0.083982, 0.084677, 0.086193
1000, 0.011935, 0.009928, 0.010439, 0.012377, 0.013554, 0.010873, 0.011136, 0.013161, 0.080344, 0.077809, 0.079081, 0.080920, 0.099557, 0.095515, 0.096454, 0.098657
1100, 0.013146, 0.010980, 0.011485, 0.013705, 0.015012, 0.012037, 0.012252, 0.014487, 0.098234, 0.092596, 0.087445, 0.091211, 0.121275, 0.114038, 0.106712, 0.110846
1200, 0.014585, 0.012220, 0.012734, 0.014973, 0.016571, 0.013308, 0.013524, 0.015870, 0.107349, 0.101494, 0.098894, 0.101462, 0.132121, 0.124559, 0.120274, 0.122832
