Size, Data.List.sort, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
25000, 0.0017442703247070313, 0.004244804382324219, 0.0027790069580078125, 0.0022542476654052734, 0.002542257308959961, 0.004013776779174805, 0.002634286880493164, 0.002172231674194336, 0.002429962158203125, 0.009968042373657227, 0.00893545150756836, 0.008741378784179688, 0.008882522583007813, 0.009478092193603516, 0.008513212203979492, 0.008328676223754883, 0.008499622344970703
50000, 0.0030002593994140625, 0.008786439895629883, 0.0057523250579833984, 0.004647731781005859, 0.0053136348724365234, 0.008410453796386719, 0.005522012710571289, 0.004441976547241211, 0.005016803741455078, 0.02240920066833496, 0.020749568939208984, 0.020432710647583008, 0.020994901657104492, 0.021358728408813477, 0.019804954528808594, 0.01929759979248047, 0.01978015899658203
75000, 0.0040874481201171875, 0.01305389404296875, 0.008664131164550781, 0.006964921951293945, 0.007967710494995117, 0.012631416320800781, 0.008423328399658203, 0.006728410720825195, 0.00767064094543457, 0.0371851921081543, 0.03321695327758789, 0.03254508972167969, 0.033516645431518555, 0.03502225875854492, 0.031862497329711914, 0.03060460090637207, 0.031738996505737305
100000, 0.005257844924926758, 0.017457008361816406, 0.011445760726928711, 0.00925588607788086, 0.010599613189697266, 0.016861438751220703, 0.011133670806884766, 0.008903264999389648, 0.010264158248901367, 0.05162954330444336, 0.04703879356384277, 0.04699563980102539, 0.04470419883728027, 0.04646134376525879, 0.04257059097290039, 0.042592525482177734, 0.04301261901855469
125000, 0.0059392452239990234, 0.020642757415771484, 0.013569831848144531, 0.010947942733764648, 0.012804269790649414, 0.02083420753479004, 0.013809442520141602, 0.011093854904174805, 0.012799501419067383, 0.06636357307434082, 0.06066727638244629, 0.05861783027648926, 0.06085777282714844, 0.06253528594970703, 0.05744194984436035, 0.05628013610839844, 0.058165788650512695
150000, 0.007337808609008789, 0.025945186614990234, 0.01706552505493164, 0.013748884201049805, 0.01576066017150879, 0.024822235107421875, 0.01664590835571289, 0.013333320617675781, 0.015136480331420898, 0.08267378807067871, 0.0779569149017334, 0.07330155372619629, 0.07558727264404297, 0.07872819900512695, 0.07359528541564941, 0.0692598819732666, 0.07151317596435547
175000, 0.008375406265258789, 0.03018498420715332, 0.019844770431518555, 0.01605367660522461, 0.01821160316467285, 0.02892899513244629, 0.0193479061126709, 0.015502691268920898, 0.01790618896484375, 0.09767270088195801, 0.0922398567199707, 0.08664608001708984, 0.09354233741760254, 0.08876657485961914, 0.08281183242797852, 0.07831144332885742, 0.08493924140930176
200000, 0.008954524993896484, 0.03301119804382324, 0.021656513214111328, 0.01746678352355957, 0.020023584365844727, 0.0318446159362793, 0.021144866943359375, 0.01688241958618164, 0.01911330223083496, 0.10791158676147461, 0.10202836990356445, 0.10423398017883301, 0.1040041446685791, 0.10343360900878906, 0.09628891944885254, 0.09780383110046387, 0.09778785705566406
225000, 0.009948492050170898, 0.037248849868774414, 0.024266481399536133, 0.01961803436279297, 0.022597789764404297, 0.03567218780517578, 0.023714780807495117, 0.018991470336914063, 0.02155303955078125, 0.12296795845031738, 0.11541295051574707, 0.116058349609375, 0.12014579772949219, 0.12305450439453125, 0.11436748504638672, 0.11363554000854492, 0.1159360408782959
250000, 0.011430978775024414, 0.04340219497680664, 0.028411388397216797, 0.02176833152770996, 0.02503657341003418, 0.03974318504333496, 0.026331663131713867, 0.02091836929321289, 0.02423572540283203, 0.13826894760131836, 0.13277983665466309, 0.1356658935546875, 0.13797211647033691, 0.13843226432800293, 0.12904930114746094, 0.1273057460784912, 0.13052797317504883
