Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
1000, 1.683357, 1.601257, 1.597809, 1.426979, 3.386162, 3.158348, 3.140617, 2.420128, 1.880272, 1.780930, 1.769348, 1.528221, 3.619568, 3.360039, 3.328880, 2.539062
2000, 2.486282, 2.314331, 2.303955, 1.960114, 6.288483, 5.822975, 5.784676, 4.335838, 2.878754, 2.575027, 2.465279, 1.980583, 6.752434, 6.128044, 5.974960, 4.392067
3000, 3.378128, 3.118004, 2.960274, 2.460587, 9.489349, 8.785225, 8.326286, 6.206917, 3.821449, 3.584641, 3.271461, 2.557343, 10.043304, 9.350174, 8.734055, 6.382835
4000, 4.202660, 3.852943, 3.825630, 3.132141, 12.613060, 11.673523, 11.582611, 8.679222, 4.842522, 4.433365, 4.389000, 3.397438, 13.412521, 12.391708, 12.255028, 9.038712
5000, 5.267952, 4.835358, 4.577599, 3.731125, 16.445969, 15.272079, 14.490295, 10.953621, 6.201973, 5.234276, 5.136574, 3.960770, 17.585014, 15.841011, 15.133286, 11.289742
6000, 6.068001, 5.551254, 5.227921, 4.224068, 19.530090, 18.115349, 17.201256, 12.941978, 7.233597, 6.181244, 5.988350, 4.573555, 20.941223, 18.957909, 18.163849, 13.442978
7000, 6.999123, 6.394691, 6.382744, 5.208672, 22.986755, 21.331337, 21.431297, 16.527534, 8.227486, 7.175018, 6.778748, 5.104256, 24.555565, 22.384033, 22.100960, 16.646667
8000, 7.862640, 7.170448, 7.119644, 5.710739, 26.309845, 24.421852, 24.256676, 18.456245, 9.316147, 8.101395, 7.642105, 5.691917, 28.144188, 25.671043, 25.038605, 18.656174
9000, 9.264534, 8.486855, 7.786079, 6.311996, 31.444145, 29.325455, 27.016449, 20.780594, 10.281685, 9.845398, 8.569168, 6.430092, 32.876183, 31.029503, 28.116104, 21.128548
10000, 10.093605, 9.225746, 8.710136, 7.018181, 34.534798, 32.178032, 30.605499, 23.533997, 11.315666, 10.671570, 9.640068, 7.229111, 36.225754, 33.988533, 31.899437, 24.030228
11000, 11.007629, 10.050293, 9.459862, 7.541710, 37.935638, 35.349159, 33.616150, 25.643867, 12.437836, 11.755386, 10.437340, 7.871574, 39.910973, 37.469215, 34.987793, 26.272026
12000, 11.851463, 10.801964, 10.151016, 8.117485, 41.231735, 38.395164, 36.567902, 28.043549, 13.567871, 12.616547, 11.334770, 8.466805, 43.544937, 40.700615, 38.232079, 28.753845
13000, 12.938553, 11.801003, 11.761345, 9.682800, 45.372719, 42.303131, 42.606781, 33.962311, 14.820900, 13.479134, 13.479500, 10.554214, 47.882645, 44.488686, 44.805298, 35.227486
14000, 13.786362, 12.585648, 12.546906, 10.190269, 48.699585, 45.402145, 45.585701, 35.772530, 15.945938, 14.487709, 14.306984, 11.130890, 51.496658, 47.873192, 47.856400, 37.136574
15000, 14.743401, 13.439789, 13.238129, 10.756432, 52.355835, 48.811142, 48.324341, 37.959801, 16.978493, 15.528709, 15.150009, 11.658745, 55.346199, 51.546715, 50.809540, 39.344910
16000, 15.611870, 14.209755, 14.092621, 11.272354, 55.838028, 52.062431, 51.685738, 40.095848, 18.126389, 16.484100, 16.275627, 12.285957, 59.154411, 55.018410, 54.476562, 41.582130
17000, 17.708687, 16.224518, 14.874756, 11.998657, 63.584709, 59.574753, 54.900833, 42.899330, 20.951782, 17.336662, 17.116417, 13.226418, 67.688889, 61.408638, 57.785126, 44.639084
18000, 18.553360, 16.974182, 15.565445, 12.590057, 66.658386, 62.405212, 57.767853, 45.280327, 21.993523, 18.247810, 17.994431, 13.762474, 71.024345, 64.429192, 60.918518, 47.011269
19000, 19.468964, 17.808853, 16.710434, 13.143898, 70.120529, 65.632118, 62.211098, 47.605156, 22.966415, 19.293404, 18.819656, 14.452103, 74.562607, 67.930038, 65.090485, 49.511566
20000, 20.322746, 18.575462, 17.516357, 14.130249, 73.387787, 68.672165, 65.470024, 51.350502, 24.073914, 20.219559, 19.775826, 15.063622, 78.112801, 71.194603, 68.395966, 52.891365
21000, 21.455208, 19.616600, 18.231453, 14.786758, 77.596825, 72.637032, 68.335159, 53.859352, 25.513557, 21.316666, 20.730003, 15.745659, 82.618439, 75.231178, 71.690071, 55.498726
22000, 22.256149, 20.337593, 19.139854, 15.312065, 80.699142, 75.509239, 72.037674, 56.112785, 26.605110, 22.331253, 21.811890, 16.501732, 86.160027, 78.485962, 75.591988, 58.010498
23000, 23.218048, 21.200340, 19.844017, 16.046356, 84.377014, 78.949432, 75.039513, 59.074860, 27.582588, 23.435814, 22.734627, 17.309258, 89.977699, 82.187645, 78.897652, 61.087402
24000, 24.083801, 21.976395, 20.653191, 16.588951, 87.852097, 82.177979, 78.491837, 61.450546, 28.720642, 24.451187, 23.660080, 18.001770, 93.764168, 85.740700, 82.533440, 63.649872
