Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
31000, 0.363562, 0.365053, 0.363400, 0.350295, 0.378659, 0.374213, 0.375909, 0.371895, 0.365245, 0.365399, 0.367379, 0.353501, 0.381354, 0.380896, 0.383827, 0.365098
32000, 0.370313, 0.372678, 0.374886, 0.361395, 0.392807, 0.386539, 0.385357, 0.365012, 0.376057, 0.376538, 0.377491, 0.362958, 0.399652, 0.399854, 0.400295, 0.381381
33000, 0.393574, 0.396066, 0.390152, 0.376042, 0.408142, 0.417349, 0.404041, 0.388583, 0.400500, 0.400829, 0.393476, 0.377204, 0.418458, 0.418261, 0.415926, 0.395821
34000, 0.408012, 0.405379, 0.404403, 0.386543, 0.424567, 0.422075, 0.413790, 0.395415, 0.412832, 0.411441, 0.405260, 0.389388, 0.426504, 0.435840, 0.420248, 0.402417
35000, 0.409846, 0.407583, 0.405782, 0.386591, 0.420899, 0.420703, 0.414549, 0.396326, 0.409605, 0.411973, 0.405790, 0.387127, 0.427919, 0.427310, 0.423000, 0.427294
36000, 0.414586, 0.415261, 0.409508, 0.397682, 0.430751, 0.427044, 0.423128, 0.402707, 0.418665, 0.419988, 0.413108, 0.394046, 0.434029, 0.434226, 0.430225, 0.410598
37000, 0.422380, 0.421454, 0.420611, 0.404331, 0.437469, 0.437482, 0.433789, 0.401743, 0.417009, 0.419034, 0.414213, 0.393139, 0.439300, 0.436396, 0.435249, 0.411313
38000, 0.423220, 0.422993, 0.421295, 0.399236, 0.440209, 0.435457, 0.437188, 0.410735, 0.429949, 0.426842, 0.422050, 0.403387, 0.446529, 0.444024, 0.440613, 0.416634
39000, 0.430640, 0.431718, 0.428555, 0.406752, 0.444168, 0.444482, 0.439370, 0.377106, 0.389704, 0.387928, 0.388131, 0.365670, 0.411644, 0.408500, 0.405534, 0.383817
40000, 0.434764, 0.437565, 0.432404, 0.413891, 0.453797, 0.451418, 0.447390, 0.424164, 0.439842, 0.438752, 0.438028, 0.414863, 0.468574, 0.418194, 0.413620, 0.390635
