Size, List.stable_sort, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBN.sort1 (TMC), CBN.sort2 (TMC), CBN.sort3 (TMC), CBN.sortN (TMC), CBNAcc.sort1 (TMC), CBNAcc.sort2 (TMC), CBNAcc.sort3 (TMC), CBNAcc.sortN (TMC), CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
25000, 0.003886, 0.005883, 0.005668, 0.005830, 0.004701, 0.005238, 0.005108, 0.005136, 0.004469, 0.005282, 0.005068, 0.005141, 0.003924, 0.004275, 0.004067, 0.004098, 0.003403, 0.005163, 0.004713, 0.004590, 0.003704, 0.004108, 0.003840, 0.003833, 0.003231
50000, 0.008459, 0.012892, 0.012466, 0.012897, 0.010546, 0.011503, 0.011213, 0.011340, 0.009954, 0.011417, 0.011518, 0.011664, 0.009154, 0.009681, 0.009306, 0.009361, 0.007940, 0.011307, 0.010979, 0.011397, 0.008298, 0.009216, 0.008932, 0.008939, 0.007344
75000, 0.014193, 0.021681, 0.021060, 0.020395, 0.017799, 0.019222, 0.018809, 0.018323, 0.016728, 0.019024, 0.018433, 0.017580, 0.014600, 0.015297, 0.014727, 0.014293, 0.012602, 0.018742, 0.016717, 0.016712, 0.014035, 0.014757, 0.013810, 0.013649, 0.011949
100000, 0.019296, 0.029568, 0.028653, 0.029481, 0.024514, 0.026493, 0.025899, 0.026304, 0.023278, 0.025719, 0.024924, 0.025266, 0.020136, 0.020970, 0.020139, 0.020327, 0.017371, 0.025016, 0.023082, 0.022630, 0.019008, 0.020198, 0.018921, 0.018948, 0.016482
125000, 0.025029, 0.037299, 0.036177, 0.036477, 0.032494, 0.033817, 0.033114, 0.032695, 0.030168, 0.032442, 0.031322, 0.031049, 0.026566, 0.026676, 0.025643, 0.025215, 0.022509, 0.031554, 0.029139, 0.028267, 0.023605, 0.025696, 0.024164, 0.023689, 0.020794
150000, 0.029004, 0.044883, 0.043476, 0.043662, 0.039246, 0.041935, 0.041112, 0.040284, 0.036860, 0.040651, 0.039372, 0.037941, 0.031982, 0.032891, 0.031662, 0.030866, 0.027496, 0.037854, 0.038015, 0.034916, 0.029053, 0.031060, 0.030208, 0.028950, 0.025585
175000, 0.035954, 0.054835, 0.053327, 0.052348, 0.044522, 0.049346, 0.048304, 0.047643, 0.043961, 0.047412, 0.045824, 0.044323, 0.038060, 0.038537, 0.037143, 0.036456, 0.032640, 0.044449, 0.044537, 0.040831, 0.034485, 0.036652, 0.035627, 0.034166, 0.030192
200000, 0.041408, 0.064096, 0.062319, 0.064079, 0.054153, 0.057579, 0.056413, 0.057284, 0.051150, 0.055228, 0.053571, 0.054309, 0.044016, 0.044925, 0.043282, 0.043611, 0.036010, 0.049621, 0.048337, 0.049886, 0.038017, 0.040390, 0.039346, 0.039431, 0.033369
225000, 0.045235, 0.068442, 0.066425, 0.067481, 0.061056, 0.062001, 0.060489, 0.060203, 0.056119, 0.061901, 0.060020, 0.060148, 0.052382, 0.050728, 0.048883, 0.048501, 0.043944, 0.058468, 0.057196, 0.057590, 0.049771, 0.048008, 0.046794, 0.045997, 0.041301
250000, 0.053680, 0.080808, 0.078635, 0.079356, 0.071182, 0.073428, 0.071916, 0.071195, 0.066009, 0.069513, 0.067305, 0.067026, 0.057863, 0.057158, 0.055134, 0.054280, 0.048829, 0.065605, 0.063996, 0.064535, 0.054601, 0.054044, 0.052672, 0.051747, 0.045923
