Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
100, 12.336990, 11.585838, 12.296059, 6.305077, 16.334412, 14.964172, 15.841301, 7.083954, 13.446091, 11.955582, 10.990585, 6.603714, 17.101051, 14.880119, 13.480438, 7.362793
200, 32.492584, 30.994514, 32.744934, 18.839127, 42.231201, 39.499496, 41.603188, 22.005096, 35.070236, 31.798592, 34.100082, 19.155914, 44.350655, 39.371826, 42.218132, 22.254089
300, 58.024727, 55.779739, 53.010757, 35.583473, 74.484848, 70.391678, 66.400192, 41.973999, 62.193871, 57.481041, 53.399757, 37.016533, 77.701035, 71.121124, 65.196808, 43.231026
400, 81.999619, 79.007713, 83.000275, 52.513786, 104.519760, 99.065125, 103.768471, 62.082367, 86.030357, 83.095619, 78.615646, 54.295952, 106.920395, 102.470612, 95.949432, 63.658318
500, 107.182602, 103.443779, 104.715202, 75.987656, 135.886589, 129.070488, 130.074036, 90.411011, 114.490379, 108.212112, 107.070549, 76.325378, 141.826096, 132.735100, 130.815399, 90.374222
600, 144.620827, 140.135086, 133.189163, 95.571136, 182.212608, 174.035042, 164.337868, 113.156212, 152.292892, 146.513420, 138.711845, 97.035805, 188.422890, 178.682327, 168.745651, 114.179573
700, 172.159363, 166.926704, 160.169617, 117.741859, 216.045952, 206.506920, 196.968079, 139.365837, 180.687958, 176.254311, 164.386490, 119.680038, 222.584648, 214.313248, 199.248657, 140.796082
800, 206.255035, 200.275459, 208.580368, 141.045959, 257.605774, 246.705276, 256.191414, 166.625801, 217.871307, 207.917206, 217.225067, 143.477341, 267.459648, 251.920036, 262.780952, 168.491989
900, 237.839752, 231.113258, 233.577568, 179.418579, 296.450333, 284.188370, 286.052429, 213.095284, 247.571693, 242.542770, 242.405602, 184.809937, 303.087830, 293.791588, 292.413956, 217.649002
1000, 267.680168, 260.206757, 263.361839, 199.432457, 332.946022, 319.322594, 321.844604, 236.308792, 281.155151, 272.669380, 275.041824, 205.140442, 343.638023, 329.501099, 331.231506, 241.135895
1100, 324.770554, 316.550224, 291.807213, 223.478470, 403.474388, 388.489494, 355.733261, 264.340950, 344.206635, 324.817085, 304.549080, 230.317268, 419.929771, 393.980484, 365.976059, 270.096855
1200, 352.054863, 343.087616, 329.336945, 247.223732, 436.457649, 420.111290, 401.070618, 292.113083, 373.447433, 355.400726, 343.263451, 254.719765, 454.748268, 429.961632, 412.688248, 298.503670
1300, 388.279060, 378.564896, 358.849396, 277.134964, 480.789398, 463.081573, 436.454529, 327.641716, 412.109711, 386.705467, 374.344086, 283.545624, 501.290459, 466.936523, 449.384048, 332.768448
1400, 419.060814, 408.599731, 394.385620, 301.902161, 517.790367, 498.721077, 478.951248, 356.396248, 443.921463, 423.668381, 410.832077, 309.718964, 538.825417, 510.747688, 492.466545, 362.917664
1500, 454.245644, 443.037643, 428.151543, 329.465683, 560.428375, 539.997620, 519.300476, 388.725960, 480.305328, 458.543327, 445.111191, 338.205208, 582.287682, 551.885101, 532.946175, 396.080406
1600, 501.196777, 489.241859, 507.547180, 359.641914, 616.939201, 595.146980, 615.623497, 423.799286, 527.500145, 507.498657, 519.127113, 368.834000, 638.870987, 609.976524, 623.494835, 431.481705
1700, 529.310616, 516.608780, 528.913345, 422.338684, 652.207947, 629.054260, 642.000931, 500.842583, 556.523918, 536.614807, 543.521469, 425.147751, 674.358963, 645.414833, 652.882896, 501.743561
1800, 571.766426, 558.317673, 562.587852, 446.717125, 703.368980, 678.853828, 681.458046, 528.499367, 603.686409, 571.408356, 578.682632, 450.968468, 730.811249, 686.133873, 694.096718, 531.042747
1900, 605.424683, 591.229012, 595.903320, 472.934464, 743.589912, 717.713295, 720.662865, 558.723419, 638.387497, 612.944504, 612.646156, 477.044838, 771.492195, 735.132622, 733.503746, 560.852074
2000, 642.087814, 627.145226, 634.846260, 496.937172, 788.437729, 761.199646, 767.647568, 586.804550, 676.645927, 650.364471, 651.374275, 501.569908, 817.649429, 780.034813, 779.519394, 589.291435
2100, 739.275871, 723.586365, 665.377426, 528.891357, 908.056808, 879.457260, 804.020302, 624.481140, 766.267021, 754.167442, 684.968864, 534.889252, 929.060776, 904.690735, 819.100021, 628.342667
2200, 772.363472, 755.927048, 701.916336, 554.980774, 947.443398, 917.482384, 847.268547, 654.432037, 800.525574, 788.664139, 723.967461, 562.682236, 969.005638, 944.828041, 864.708168, 659.886124
2300, 809.243248, 792.059906, 743.293304, 588.322731, 990.475227, 959.152748, 895.494736, 692.715523, 840.019882, 825.730713, 766.842026, 596.574760, 1014.715034, 987.149544, 914.229057, 698.395271
2400, 850.151436, 832.221176, 798.922737, 619.912102, 1039.113937, 1006.429993, 961.764549, 729.175438, 882.617599, 865.582413, 824.520332, 629.313492, 1064.800362, 1033.683449, 982.658386, 736.043472
2500, 888.649864, 869.972687, 840.401749, 667.769897, 1084.857224, 1050.811813, 1010.676086, 785.775063, 922.389168, 903.545685, 866.185814, 676.679321, 1111.629272, 1077.814552, 1031.354988, 791.875168
