Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
100, 10.981888, 10.401634, 10.124985, 11.156952, 22.574203, 20.604538, 19.519005, 21.207924, 12.443489, 11.158630, 11.596092, 11.742195, 24.193230, 21.220406, 22.221619, 21.790382
200, 28.977592, 27.836487, 29.675598, 29.693474, 56.703300, 52.776962, 55.448151, 54.581345, 31.236183, 29.684242, 31.470978, 31.679512, 58.641052, 54.136887, 56.960274, 56.286041
300, 51.263588, 49.530273, 47.664207, 54.217239, 98.000298, 92.111061, 86.412811, 98.542831, 55.366165, 51.831726, 49.929268, 55.450089, 101.423386, 94.029411, 87.696671, 98.273827
400, 73.405800, 71.091904, 73.925591, 74.645569, 137.407303, 129.557686, 132.595177, 132.448502, 78.559174, 74.445053, 77.101608, 77.622253, 141.540932, 132.162621, 135.837631, 134.833885
500, 95.524406, 92.634048, 94.279991, 97.800941, 176.739555, 166.930359, 166.802391, 171.645332, 102.094231, 96.849953, 98.025482, 101.580734, 181.951897, 170.015755, 170.016068, 174.250023
600, 126.160896, 122.703140, 118.521835, 121.354263, 232.016449, 220.249435, 208.429665, 211.686798, 132.874153, 129.264038, 123.015930, 126.088737, 237.362358, 225.540314, 211.810562, 215.145241
700, 149.269905, 145.224976, 141.432190, 155.608681, 272.257729, 258.529053, 246.787086, 271.205048, 157.354324, 153.419342, 147.075996, 163.023659, 278.254692, 265.449738, 251.443665, 277.337799
800, 177.833267, 173.214394, 180.752197, 180.945549, 322.523941, 306.836304, 315.955360, 313.187218, 186.903030, 182.019363, 188.573196, 189.546776, 328.997292, 314.208778, 321.698914, 319.953804
900, 201.536057, 196.342415, 200.685081, 202.917816, 365.063728, 347.416969, 349.495056, 350.607346, 213.147064, 206.054672, 209.587303, 213.288490, 375.080917, 354.975060, 356.153763, 359.544037
1000, 228.993515, 223.234123, 227.848465, 233.425720, 411.701782, 392.097527, 393.595039, 400.588783, 240.966026, 234.851532, 239.035759, 244.250572, 420.640648, 402.008362, 403.185028, 409.682892
