Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
100, 0.003358, 0.003115, 0.003296, 0.001751, 0.004494, 0.004078, 0.004321, 0.001968, 0.003765, 0.003382, 0.003096, 0.001884, 0.004787, 0.004173, 0.003779, 0.002091
200, 0.008887, 0.008377, 0.008778, 0.005001, 0.011662, 0.010838, 0.011330, 0.005845, 0.009734, 0.008875, 0.009404, 0.005390, 0.012288, 0.010872, 0.011602, 0.006210
300, 0.015804, 0.015100, 0.014302, 0.009380, 0.020603, 0.019322, 0.018153, 0.011129, 0.017301, 0.015904, 0.014859, 0.010407, 0.021465, 0.019593, 0.017914, 0.012058
400, 0.022563, 0.021450, 0.022288, 0.013821, 0.029058, 0.027329, 0.028351, 0.016585, 0.024099, 0.023188, 0.021851, 0.015204, 0.029700, 0.028319, 0.026360, 0.017669
500, 0.029526, 0.028198, 0.028276, 0.020025, 0.037888, 0.035638, 0.035657, 0.024140, 0.032344, 0.030244, 0.029771, 0.021311, 0.039544, 0.036798, 0.036089, 0.025078
600, 0.039752, 0.038240, 0.036124, 0.025329, 0.050809, 0.048083, 0.045296, 0.030250, 0.043165, 0.041339, 0.038892, 0.027410, 0.052843, 0.049871, 0.046868, 0.031885
700, 0.047401, 0.045398, 0.043369, 0.031173, 0.060353, 0.057269, 0.054224, 0.037307, 0.051127, 0.049665, 0.046243, 0.033479, 0.062370, 0.059787, 0.055436, 0.039114
800, 0.056814, 0.054623, 0.056180, 0.037347, 0.072039, 0.068444, 0.070394, 0.044612, 0.061903, 0.058896, 0.061406, 0.040284, 0.075118, 0.070597, 0.073435, 0.046818
900, 0.065725, 0.063168, 0.063284, 0.047353, 0.083341, 0.079350, 0.078839, 0.056969, 0.070598, 0.068855, 0.068680, 0.052077, 0.085544, 0.082502, 0.081691, 0.060653
1000, 0.073975, 0.071331, 0.071465, 0.052713, 0.093649, 0.089160, 0.089142, 0.063363, 0.080661, 0.077694, 0.078193, 0.057966, 0.097153, 0.092634, 0.092968, 0.067451
1100, 0.089449, 0.086610, 0.079562, 0.059302, 0.113039, 0.108415, 0.098773, 0.071009, 0.098943, 0.092491, 0.086821, 0.065588, 0.119122, 0.111096, 0.103041, 0.075794
1200, 0.097314, 0.094202, 0.089686, 0.065596, 0.122990, 0.117317, 0.111694, 0.078628, 0.107300, 0.101460, 0.097804, 0.072421, 0.128946, 0.121394, 0.116206, 0.083924
1300, 0.107601, 0.104149, 0.098217, 0.073673, 0.135782, 0.129923, 0.121846, 0.088157, 0.118733, 0.110548, 0.106950, 0.080505, 0.142466, 0.131990, 0.126776, 0.093512
1400, 0.116461, 0.112414, 0.107866, 0.080296, 0.146330, 0.140179, 0.133841, 0.096051, 0.128032, 0.121448, 0.117594, 0.088147, 0.153571, 0.144606, 0.139056, 0.102040
1500, 0.126219, 0.122140, 0.117475, 0.087629, 0.158847, 0.151978, 0.145513, 0.104757, 0.138746, 0.131492, 0.127668, 0.096482, 0.165820, 0.156301, 0.150837, 0.111415
1600, 0.139379, 0.135165, 0.138605, 0.095653, 0.174928, 0.167708, 0.171745, 0.114491, 0.152227, 0.145385, 0.148520, 0.105261, 0.182040, 0.172725, 0.176207, 0.121619
1700, 0.147410, 0.142697, 0.144798, 0.112196, 0.185059, 0.177379, 0.179375, 0.134674, 0.160809, 0.154122, 0.155577, 0.121264, 0.191822, 0.182958, 0.184812, 0.141272
1800, 0.159488, 0.154757, 0.154169, 0.118486, 0.199936, 0.191641, 0.190917, 0.142136, 0.174577, 0.164273, 0.165858, 0.128756, 0.208104, 0.194585, 0.196522, 0.150126
1900, 0.168747, 0.163791, 0.163729, 0.125790, 0.211551, 0.203084, 0.202437, 0.150478, 0.184683, 0.176116, 0.175454, 0.136237, 0.219774, 0.208213, 0.207676, 0.158275
2000, 0.179575, 0.174115, 0.174409, 0.132097, 0.224536, 0.215399, 0.215739, 0.158380, 0.195675, 0.187166, 0.186843, 0.143216, 0.233244, 0.221228, 0.220679, 0.166123
2100, 0.205571, 0.199754, 0.183422, 0.140651, 0.257590, 0.248091, 0.226711, 0.168759, 0.221425, 0.217421, 0.196500, 0.152800, 0.264503, 0.257329, 0.231909, 0.176932
2200, 0.214955, 0.209142, 0.193635, 0.147686, 0.269118, 0.259369, 0.239049, 0.177212, 0.231160, 0.227243, 0.207559, 0.160609, 0.276139, 0.268365, 0.244748, 0.186401
