Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
100, 0.002625, 0.002462, 0.002620, 0.001389, 0.005857, 0.005238, 0.005570, 0.002053, 0.002947, 0.002634, 0.002451, 0.001466, 0.006018, 0.005123, 0.004626, 0.002123
200, 0.006756, 0.006393, 0.006738, 0.003970, 0.014592, 0.013310, 0.013982, 0.006566, 0.007451, 0.006698, 0.007137, 0.004040, 0.015073, 0.012964, 0.013887, 0.006628
300, 0.011717, 0.011172, 0.010622, 0.007252, 0.025050, 0.023186, 0.021605, 0.012539, 0.012855, 0.011738, 0.010999, 0.007631, 0.025615, 0.023059, 0.020890, 0.012837
400, 0.016664, 0.015970, 0.016763, 0.010775, 0.034873, 0.032285, 0.033801, 0.018667, 0.018021, 0.017097, 0.016322, 0.011204, 0.035393, 0.033135, 0.030980, 0.019062
500, 0.021826, 0.020968, 0.021214, 0.015525, 0.044989, 0.041820, 0.041961, 0.027430, 0.023754, 0.022376, 0.022009, 0.015677, 0.046219, 0.042688, 0.041646, 0.027271
600, 0.029238, 0.028187, 0.026682, 0.019531, 0.059814, 0.055988, 0.052186, 0.034072, 0.031212, 0.030024, 0.028277, 0.019925, 0.061124, 0.056876, 0.053360, 0.034285
700, 0.034275, 0.033066, 0.031631, 0.023751, 0.069703, 0.065284, 0.061641, 0.041578, 0.036768, 0.035708, 0.033212, 0.024140, 0.071167, 0.067222, 0.062080, 0.041745
800, 0.040553, 0.039191, 0.040622, 0.028011, 0.082338, 0.077086, 0.079608, 0.049181, 0.043480, 0.041758, 0.043198, 0.028554, 0.084276, 0.078687, 0.081114, 0.049331
900, 0.047371, 0.045845, 0.046048, 0.036080, 0.094629, 0.089055, 0.088840, 0.063766, 0.049994, 0.049015, 0.048846, 0.037371, 0.095757, 0.091559, 0.090278, 0.064729
1000, 0.053096, 0.051426, 0.051700, 0.039904, 0.105850, 0.099514, 0.099581, 0.070309, 0.056734, 0.054791, 0.055224, 0.041248, 0.108312, 0.101973, 0.102046, 0.071282
1100, 0.064507, 0.062593, 0.057492, 0.044670, 0.128185, 0.121386, 0.109897, 0.078308, 0.069378, 0.065187, 0.061315, 0.046524, 0.131910, 0.122587, 0.112274, 0.079789
1200, 0.070607, 0.068723, 0.065641, 0.050291, 0.139204, 0.131633, 0.124148, 0.087311, 0.076144, 0.072059, 0.069671, 0.052062, 0.143370, 0.133969, 0.127439, 0.088736
1300, 0.077926, 0.075672, 0.071517, 0.055942, 0.152761, 0.144343, 0.134878, 0.097284, 0.083977, 0.078639, 0.075947, 0.057703, 0.157438, 0.145407, 0.138128, 0.098980
1400, 0.083592, 0.081240, 0.078264, 0.061052, 0.163457, 0.154465, 0.147553, 0.105854, 0.090244, 0.085255, 0.082906, 0.063118, 0.168655, 0.157364, 0.150399, 0.107684
1500, 0.091054, 0.088560, 0.085464, 0.067053, 0.176771, 0.167311, 0.159728, 0.116192, 0.098099, 0.092837, 0.090174, 0.069198, 0.182138, 0.170073, 0.163175, 0.117516
1600, 0.099718, 0.097008, 0.100434, 0.072767, 0.193224, 0.183482, 0.188741, 0.125482, 0.106870, 0.101640, 0.103937, 0.074813, 0.198685, 0.186722, 0.190482, 0.127265
1700, 0.107172, 0.104395, 0.106900, 0.086581, 0.206708, 0.195966, 0.199281, 0.150993, 0.114451, 0.109484, 0.110734, 0.087424, 0.211649, 0.199622, 0.201308, 0.151368
