Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
1000, 0.806839, 0.696213, 0.691788, 0.716759, 2.708565, 2.458511, 2.426163, 2.465187, 0.923325, 0.776901, 0.762230, 0.771217, 2.910568, 2.604027, 2.566177, 2.587868
2000, 1.722862, 1.501610, 1.494293, 1.534195, 5.938492, 5.438713, 5.379730, 5.446236, 2.001785, 1.618210, 1.465103, 1.601707, 6.393486, 5.711128, 5.488792, 5.657318
3000, 2.753784, 2.421906, 2.210548, 2.485207, 9.508369, 8.759048, 8.229019, 8.855965, 3.021957, 2.697678, 2.322159, 2.710846, 10.044235, 9.292877, 8.568344, 9.327843
4000, 3.698418, 3.255913, 3.237816, 3.342682, 12.980980, 11.981819, 11.850510, 12.041840, 4.153854, 3.579697, 3.519890, 3.544044, 13.818146, 12.640800, 12.464211, 12.565544
5000, 4.966484, 4.413353, 4.074997, 4.646179, 17.246887, 15.997566, 15.075226, 16.643684, 5.658752, 4.428940, 4.274765, 4.469620, 18.430466, 16.445992, 15.664650, 16.892166
6000, 5.895668, 5.231911, 4.799332, 5.379288, 20.666687, 19.167389, 18.071503, 19.395378, 6.788528, 5.429153, 5.175644, 5.309479, 22.175575, 19.880035, 18.963303, 19.835945
7000, 6.956528, 6.182144, 6.182556, 6.228973, 24.472198, 22.723175, 22.761665, 22.621193, 7.859955, 6.521774, 6.004951, 6.344856, 26.093803, 23.711479, 23.185707, 23.362038
8000, 7.906151, 7.021141, 6.988106, 7.201271, 28.121117, 26.121773, 25.882828, 26.263313, 9.023972, 7.479324, 6.866913, 7.439690, 30.081139, 27.328552, 26.452461, 27.229996
9000, 9.658669, 8.663033, 7.736107, 8.080933, 33.819946, 31.571747, 28.939720, 29.669151, 10.066254, 9.440125, 7.855484, 8.388176, 35.171783, 33.240425, 29.847260, 30.811447
10000, 10.590233, 9.483971, 8.788460, 9.925400, 37.239532, 34.740417, 32.836899, 35.977608, 11.192032, 10.311188, 9.029716, 10.686890, 38.884285, 36.567047, 33.980408, 37.731300
11000, 11.628113, 10.411224, 9.634247, 10.671829, 40.983604, 38.235931, 36.216591, 38.800682, 12.407455, 11.444351, 9.870987, 11.508148, 42.921097, 40.349892, 37.442719, 40.695969
