Size, Data.List.sort, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
25000, 0.009710550308227539, 0.017422199249267578, 0.015151500701904297, 0.014544010162353516, 0.009844541549682617, 0.016333341598510742, 0.014578104019165039, 0.013981342315673828, 0.009747743606567383, 0.008105278015136719, 0.007252931594848633, 0.00701594352722168, 0.005507707595825195, 0.007735252380371094, 0.006895780563354492, 0.006673574447631836, 0.005225658416748047
50000, 0.022560596466064453, 0.04191756248474121, 0.03661513328552246, 0.035192251205444336, 0.023122549057006836, 0.03860211372375488, 0.034583091735839844, 0.033280134201049805, 0.022686243057250977, 0.018682241439819336, 0.017194032669067383, 0.01709294319152832, 0.012933731079101563, 0.017856121063232422, 0.016328096389770508, 0.016083240509033203, 0.01230621337890625
75000, 0.03715682029724121, 0.07044696807861328, 0.06231427192687988, 0.05845046043395996, 0.03826308250427246, 0.0640861988067627, 0.05748748779296875, 0.054068565368652344, 0.03744864463806152, 0.03133821487426758, 0.028148651123046875, 0.027019262313842773, 0.02205824851989746, 0.02975940704345703, 0.026885509490966797, 0.025578022003173828, 0.020812273025512695
100000, 0.05263948440551758, 0.10049772262573242, 0.08948445320129395, 0.08663821220397949, 0.054569244384765625, 0.09090113639831543, 0.0817403793334961, 0.07903814315795898, 0.053333282470703125, 0.043024539947509766, 0.03952193260192871, 0.03878498077392578, 0.030728816986083984, 0.04093599319458008, 0.03763103485107422, 0.03703808784484863, 0.029235124588012695
125000, 0.07084321975708008, 0.1316373348236084, 0.11816883087158203, 0.11333036422729492, 0.0738375186920166, 0.11859560012817383, 0.10711407661437988, 0.10251736640930176, 0.07112979888916016, 0.055190324783325195, 0.050629377365112305, 0.04889535903930664, 0.0402224063873291, 0.0524592399597168, 0.04809069633483887, 0.0466768741607666, 0.03850245475769043
150000, 0.08807492256164551, 0.1670694351196289, 0.1506056785583496, 0.14264965057373047, 0.09240007400512695, 0.15051579475402832, 0.13586068153381348, 0.1296231746673584, 0.0891876220703125, 0.0684351921081543, 0.0647885799407959, 0.0606837272644043, 0.04987072944641113, 0.06556534767150879, 0.06118488311767578, 0.057538509368896484, 0.047597408294677734
175000, 0.10709524154663086, 0.20111298561096191, 0.18190956115722656, 0.17284727096557617, 0.11309981346130371, 0.18049097061157227, 0.16407084465026855, 0.1562957763671875, 0.10858321189880371, 0.08073687553405762, 0.07608985900878906, 0.07158041000366211, 0.059862375259399414, 0.07756328582763672, 0.0718080997467041, 0.06786918640136719, 0.056626319885253906
200000, 0.12670087814331055, 0.2481849193572998, 0.22516775131225586, 0.2147374153137207, 0.1341111660003662, 0.2138516902923584, 0.19420981407165527, 0.1884932518005371, 0.12902617454528809, 0.09445643424987793, 0.08814692497253418, 0.08919978141784668, 0.06957697868347168, 0.0905923843383789, 0.08336997032165527, 0.08411359786987305, 0.06598377227783203
225000, 0.15104961395263672, 0.2724874019622803, 0.24767017364501953, 0.2382662296295166, 0.16089630126953125, 0.2571735382080078, 0.23389363288879395, 0.22636175155639648, 0.16048407554626465, 0.11235761642456055, 0.10445189476013184, 0.10376453399658203, 0.08843779563903809, 0.10710310935974121, 0.09883451461791992, 0.09764504432678223, 0.08304309844970703
250000, 0.17937040328979492, 0.32401299476623535, 0.2958359718322754, 0.28408217430114746, 0.19138693809509277, 0.2919440269470215, 0.26657629013061523, 0.25618886947631836, 0.18176031112670898, 0.12603068351745605, 0.11734652519226074, 0.1160421371459961, 0.09319233894348145, 0.1150062084197998, 0.1063992977142334, 0.10422682762145996, 0.08770132064819336
275000, 0.19158530235290527, 0.35297417640686035, 0.32330965995788574, 0.3043818473815918, 0.2059485912322998, 0.3322031497955322, 0.3031785488128662, 0.2865865230560303, 0.20413589477539063, 0.14753508567810059, 0.12807440757751465, 0.12190008163452148, 0.10352325439453125, 0.13376545906066895, 0.1227116584777832, 0.11470794677734375, 0.09728622436523438
300000, 0.21310663223266602, 0.3902440071105957, 0.35716748237609863, 0.3403611183166504, 0.23082351684570313, 0.35036706924438477, 0.31957292556762695, 0.30515384674072266, 0.21650362014770508, 0.1529841423034668, 0.13933587074279785, 0.13472843170166016, 0.11832475662231445, 0.15138626098632813, 0.13938426971435547, 0.13298559188842773, 0.11158943176269531
325000, 0.2494504451751709, 0.4477090835571289, 0.41010189056396484, 0.37407469749450684, 0.25672197341918945, 0.3822946548461914, 0.35057640075683594, 0.33540916442871094, 0.24120712280273438, 0.16551446914672852, 0.15070009231567383, 0.146104097366333, 0.1239175796508789, 0.156663179397583, 0.14443302154541016, 0.13830828666687012, 0.1173543930053711
