Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
1000, 0.004263, 0.004151, 0.004246, 0.004337, 0.005891, 0.005660, 0.005725, 0.005835, 0.004378, 0.004217, 0.004322, 0.004396, 0.005952, 0.005661, 0.005737, 0.005824
2000, 0.010017, 0.009740, 0.009993, 0.010153, 0.013623, 0.013154, 0.013300, 0.013513, 0.010199, 0.009827, 0.010026, 0.010248, 0.013720, 0.013117, 0.013216, 0.013462
3000, 0.016515, 0.016172, 0.015980, 0.016969, 0.022335, 0.021576, 0.021118, 0.022419, 0.016753, 0.016421, 0.016087, 0.017174, 0.022401, 0.021722, 0.021034, 0.022392
4000, 0.023163, 0.022711, 0.023198, 0.023646, 0.031182, 0.030201, 0.030513, 0.031077, 0.023505, 0.022993, 0.023469, 0.023799, 0.031299, 0.030273, 0.030626, 0.031079
5000, 0.031321, 0.030752, 0.030315, 0.032993, 0.041947, 0.040631, 0.039666, 0.043329, 0.031905, 0.030934, 0.030444, 0.032930, 0.042446, 0.040580, 0.039700, 0.043053
6000, 0.038316, 0.037631, 0.037143, 0.039292, 0.051128, 0.049660, 0.048551, 0.051390, 0.039318, 0.037961, 0.037450, 0.039504, 0.051877, 0.049731, 0.048666, 0.051249
7000, 0.045984, 0.045133, 0.046499, 0.046522, 0.061131, 0.059358, 0.060675, 0.060716, 0.046825, 0.045457, 0.046518, 0.046683, 0.061989, 0.059709, 0.060702, 0.060817
8000, 0.053505, 0.052577, 0.053646, 0.054599, 0.071033, 0.069138, 0.069873, 0.071156, 0.054511, 0.053053, 0.053732, 0.054794, 0.072150, 0.069491, 0.070017, 0.071342
9000, 0.064354, 0.063221, 0.060857, 0.062297, 0.085506, 0.083203, 0.079128, 0.081327, 0.064895, 0.063983, 0.060982, 0.062603, 0.086246, 0.083819, 0.079332, 0.081391
10000, 0.072067, 0.070948, 0.069963, 0.075722, 0.095797, 0.093253, 0.091093, 0.098758, 0.072727, 0.073445, 0.070361, 0.077309, 0.096778, 0.094421, 0.091929, 0.099658
11000, 0.079840, 0.078505, 0.077711, 0.082308, 0.105828, 0.103151, 0.101042, 0.107116, 0.080646, 0.079649, 0.078053, 0.083086, 0.106833, 0.104300, 0.101552, 0.108057
12000, 0.087896, 0.086426, 0.085569, 0.090013, 0.116239, 0.113289, 0.110952, 0.117047, 0.088999, 0.087653, 0.086025, 0.090981, 0.117485, 0.114497, 0.111690, 0.118412
13000, 0.097418, 0.096023, 0.099376, 0.098852, 0.128852, 0.125548, 0.129032, 0.128425, 0.098801, 0.097256, 0.100298, 0.099815, 0.130523, 0.126724, 0.130487, 0.129713
