Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
3100, 882.339478, 863.853020, 895.015244, 651.684708, 1496.334572, 1435.458069, 1480.571869, 1020.239784, 929.947418, 897.516724, 937.154762, 667.166733, 1534.662109, 1452.328438, 1514.508888, 1032.628479
3200, 907.491203, 888.408554, 917.227409, 677.718895, 1536.376381, 1473.536591, 1514.066933, 1060.515129, 957.855865, 933.975563, 959.680962, 693.698662, 1578.099495, 1511.919533, 1547.489059, 1073.254433
3300, 933.359192, 913.680260, 939.519684, 771.333519, 1580.761955, 1515.958603, 1550.994614, 1220.418091, 983.747124, 959.387955, 984.516388, 796.410202, 1621.413834, 1553.365448, 1587.410599, 1241.291336
3400, 971.816093, 951.541061, 971.533730, 796.632950, 1639.972420, 1573.206055, 1597.194450, 1255.119110, 1025.608147, 999.053642, 1017.097481, 822.018188, 1684.124115, 1611.581177, 1633.241798, 1276.308464
3500, 997.563774, 976.692413, 999.407814, 813.965309, 1684.523201, 1615.793137, 1644.315262, 1282.502815, 1051.784828, 1028.125755, 1045.807999, 840.598045, 1727.343399, 1659.205391, 1681.164345, 1304.799805
3600, 1040.596954, 1019.129402, 1026.200798, 836.988655, 1754.637268, 1683.943916, 1684.378799, 1315.756325, 1090.746086, 1071.295914, 1075.916283, 864.336296, 1789.486519, 1727.595123, 1726.370979, 1338.780045
3700, 1064.124916, 1042.061081, 1053.487816, 860.288147, 1795.078369, 1722.421455, 1729.959785, 1352.939850, 1123.419701, 1095.342369, 1103.689613, 886.858772, 1845.215637, 1766.883224, 1771.867233, 1375.012306
3800, 1098.422646, 1075.762527, 1083.786102, 882.984329, 1849.314163, 1774.693687, 1776.043320, 1385.502228, 1159.228706, 1131.142395, 1135.666527, 910.889893, 1899.382423, 1820.839699, 1819.335457, 1408.830048
3900, 1135.471970, 1112.215614, 1128.394073, 906.874603, 1910.380661, 1833.796761, 1848.784737, 1421.734833, 1195.427193, 1168.209282, 1182.856445, 935.227806, 1957.806366, 1880.599075, 1893.692131, 1445.517166
4000, 1163.796814, 1139.944359, 1151.539803, 928.210388, 1957.960617, 1879.413704, 1885.813286, 1454.696129, 1228.280411, 1198.616089, 1207.630760, 957.654640, 2011.120239, 1928.930420, 1932.408882, 1479.605194
