Size, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
100, 3.723854, 3.074089, 3.177505, 3.844780, 4.802650, 3.814629, 3.824928, 4.514320, 13.841400, 12.262405, 12.838631, 13.007294, 18.612541, 16.310173, 17.090569, 17.035828
200, 7.368553, 6.089752, 6.342934, 7.888657, 9.101250, 7.208588, 7.284111, 8.903931, 35.268883, 33.429413, 35.802483, 35.997574, 46.360977, 43.232567, 45.965271, 45.831039
300, 11.296753, 9.389343, 10.176743, 12.595970, 13.617386, 10.838768, 11.295311, 13.964851, 63.502678, 59.195320, 56.842697, 63.869026, 82.081314, 76.094803, 71.917763, 80.992752
400, 15.308945, 12.773369, 13.890129, 16.957634, 18.171829, 14.488564, 15.238831, 18.465042, 90.432549, 85.426300, 89.019646, 89.541000, 115.833633, 108.510460, 112.461342, 112.414673
500, 19.133423, 15.970329, 17.370186, 21.489403, 22.542480, 17.963905, 18.890984, 23.230873, 117.769089, 111.387177, 113.060104, 117.545456, 149.966438, 140.650429, 141.794426, 146.569763
600, 22.990356, 19.202354, 21.095596, 25.712227, 26.983383, 21.509476, 22.834785, 27.667343, 154.494110, 150.296547, 142.442436, 146.254440, 196.578728, 188.750549, 177.849075, 181.805748
700, 26.774628, 22.359108, 24.616173, 30.293839, 31.310333, 24.941116, 26.523033, 32.579208, 182.893044, 178.424721, 170.477325, 190.903038, 231.600861, 223.185867, 212.088821, 236.493050
800, 30.811920, 25.767143, 28.220741, 34.847649, 35.927475, 28.662964, 30.399208, 37.310738, 218.035294, 212.397697, 221.151688, 222.191864, 275.223946, 265.221512, 274.153252, 274.194305
900, 34.341301, 28.669006, 31.621536, 39.180008, 39.987793, 31.827972, 33.976967, 41.930183, 248.901382, 240.457306, 245.318024, 249.887863, 314.081764, 299.962654, 303.689049, 308.251839
1000, 39.023445, 32.722763, 36.413216, 44.810562, 45.195137, 36.140015, 38.908669, 47.752876, 281.577698, 274.507988, 280.295006, 286.784943, 353.904930, 341.300430, 345.668190, 352.792084
